date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-11-27,4.9,1.7,1.75,-1.4,,-6,77,66.9,65,53,-2.3,-3.9,-3.9,-5.5,27,16.12,16.5,6,36,27,101.62,101.41,101.36,101.09,99.48,99.28,99.23,98.97,24100,24100,24100,24100,,,,,16.2,0,0,0,0,0,,,,7:27:00,1732710420,7.45,16:43:00,1732743780,16.72,9.27,1,1,4,5,-1,0,,,,,,8,5.5,4.5,1,,,,
2024-11-26,7.2,5.22,4.55,1.9,,,100,81.5,80.5,61,7.2,2.2,1.3,-4.6,43,22.96,23.5,4,59,26,101.38,101.03,101,100.62,99.25,98.93,98.88,98.52,24100,20200,13050,2000,,,,,13.4,0,0,0,0,4.4,4.4,0,,7:26:00,1732623960,7.43,16:44:00,1732657440,16.73,9.3,1,1,7,7,0,0,,,,,,8,7,6,4,,,,
2024-11-25,6.6,3.23,2.15,-2.3,,-4,100,85.7,85.5,71,6.5,1,1.7,-3.1,19,11.46,11.5,4,27,8,101.9,101.54,101.35,100.8,99.75,99.41,99.22,98.7,24100,22300,16900,9700,,,,,15.8,0,0,0,0,1.2,1.2,0,,7:25:00,1732537500,7.42,16:44:00,1732571040,16.73,9.32,1,1,6,6,4,4,,,,,,8,6.8,5.5,3,,,,
2024-11-24,7.3,3.45,3.45,-0.4,,,95,80,77.5,60,1.4,0.2,0,-1.4,28,16.54,17,6,42,31,101.84,101.45,101.48,101.12,99.7,99.33,99.36,99.01,24100,24100,24100,24100,,,,,14.6,0,0,0,0,0,0,0,,7:24:00,1732451040,7.4,16:45:00,1732484700,16.75,9.35,1,1,7,7,-1,0,,,,,,8,4.8,4.5,1,,,,
2024-11-23,9.4,5.19,5.55,1.7,,,100,85.8,82,64,5.9,2.8,3.4,0.8,37,18.58,21,5,53,29,101.11,100.81,100.78,100.45,99,98.71,98.68,98.36,24100,24100,24100,24100,,,,,12.4,0,0.6,0,0,0,0,0,,7:23:00,1732364580,7.38,16:45:00,1732398300,16.75,9.37,1,1,9,9,2,4,,,,,,8,5.7,5,2,,,,
2024-11-22,7,5.32,5.4,3.8,,,100,93.5,92,84,6,4.4,4.4,2.8,32,23.67,24,16,43,34,100.45,100.08,100.14,99.83,98.35,97.99,98.05,97.75,24100,20595.8,14050,4000,,,,,12.6,0,0.4,0,0,1.7,1.7,0,,7:21:00,1732278060,7.35,16:46:00,1732311960,16.77,9.42,1,1,8,8,3,6,,,,,,8,7,4.5,1,,,,
2024-11-21,5.4,3.91,3.55,1.7,,,99,86.6,84,69,3.2,1.8,1.6,-0.1,19,9.33,11.5,4,32,31,100.45,100.31,100.33,100.22,98.35,98.22,98.24,98.13,24100,24100,24100,24100,,,,,14.4,0,0,0,0,0,0,0,,7:20:00,1732191600,7.33,16:47:00,1732225620,16.78,9.45,1,1,6,6,4,5,,,,,,8,7,4.5,1,,,,
2024-11-20,9.4,7.8,6.7,4,,,100,99.4,97.5,95,9,7.7,6.5,4,38,14.17,19,0,59,25,100.82,100.48,100.36,99.9,98.73,98.39,98.28,97.83,24100,13645.8,12450,800,,,,,11.3,0,1.7,0,0,16.6,16.6,0,,7:19:00,1732105140,7.32,16:47:00,1732139220,16.78,9.47,1,1,11,11,2,2,,,,,,8,7.7,6,4,,,,
2024-11-19,10.3,7.1,6.15,2,,,99,91,87,75,8.3,5.7,5.3,2.3,24,14.92,14,4,39,8,101.66,101.26,101.24,100.82,99.55,99.16,99.14,98.73,24100,23166.7,20100,16100,,,,,11.8,0,1.1,0,0,0.5,0.5,0,,7:18:00,1732018680,7.3,16:48:00,1732052880,16.8,9.5,1,1,10,10,7,8,,,,,,8,7.1,6.5,5,,,,
2024-11-18,13.8,8.6,8.25,2.7,,,100,78.2,72.5,45,9.5,4.5,5.4,1.3,23,12.79,13.5,4,35,31,101.69,101.45,101.41,101.13,99.57,99.35,99.31,99.04,24100,23233.3,20100,16100,,,,,9.8,0,3.2,1.2,0,0,0,0,,7:17:00,1731932220,7.28,16:49:00,1731966540,16.82,9.53,2,2,13,13,3,4,,,,,,8,2.7,4,0,,,,
